Temps(s), NeutInside(AD), NeutTherm(AD), NeutFast(AD), IntFission(AD), IntXenon(AD), IntTot(AD), TotNonInt(AD), EFiss(MeV), Ccomb(%)
8.300000000000000711e+00,8.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,9.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,1.095471000000000231e+03,1.111111111111111049e-01
8.400000000000000355e+00,8.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,9.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,1.095471000000000231e+03,1.111111111111111049e-01
8.500000000000000000e+00,7.000000000000000000e+00,4.000000000000000000e+00,3.000000000000000000e+00,9.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,1.100000000000000000e+01,1.095471000000000231e+03,1.111111111111111049e-01
8.599999999999999645e+00,7.000000000000000000e+00,4.000000000000000000e+00,3.000000000000000000e+00,9.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,1.100000000000000000e+01,1.095471000000000231e+03,1.111111111111111049e-01
8.700000000000001066e+00,7.000000000000000000e+00,4.000000000000000000e+00,3.000000000000000000e+00,9.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,1.100000000000000000e+01,1.095471000000000231e+03,1.111111111111111049e-01
8.800000000000000711e+00,6.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00,9.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,1.200000000000000000e+01,1.095471000000000231e+03,1.111111111111111049e-01
8.900000000000000355e+00,6.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00,9.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,1.200000000000000000e+01,1.095471000000000231e+03,1.111111111111111049e-01
9.000000000000000000e+00,8.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+00,1.100000000000000000e+01,1.200000000000000000e+01,1.217190000000000282e+03,1.111111111111111049e-01
9.099999999999999645e+00,8.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+00,1.100000000000000000e+01,1.200000000000000000e+01,1.217190000000000282e+03,1.111111111111111049e-01
9.200000000000001066e+00,7.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+00,1.100000000000000000e+01,1.300000000000000000e+01,1.217190000000000282e+03,1.111111111111111049e-01
9.300000000000000711e+00,6.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+00,1.100000000000000000e+01,1.400000000000000000e+01,1.217190000000000282e+03,1.111111111111111049e-01
9.400000000000000355e+00,5.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+00,1.100000000000000000e+01,1.500000000000000000e+01,1.217190000000000282e+03,1.111111111111111049e-01
9.500000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+00,1.100000000000000000e+01,1.500000000000000000e+01,1.217190000000000282e+03,1.111111111111111049e-01
9.600000000000001421e+00,5.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+00,1.100000000000000000e+01,1.500000000000000000e+01,1.217190000000000282e+03,1.111111111111111049e-01
9.700000000000001066e+00,5.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+00,1.100000000000000000e+01,1.500000000000000000e+01,1.217190000000000282e+03,1.111111111111111049e-01
9.800000000000000711e+00,5.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+00,1.100000000000000000e+01,1.500000000000000000e+01,1.217190000000000282e+03,1.111111111111111049e-01
9.900000000000000355e+00,6.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,1.100000000000000000e+01,1.000000000000000000e+00,1.200000000000000000e+01,1.600000000000000000e+01,1.338909000000000333e+03,1.111111111111111049e-01
1.000000000000000000e+01,6.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,1.100000000000000000e+01,1.000000000000000000e+00,1.200000000000000000e+01,1.600000000000000000e+01,1.338909000000000333e+03,1.111111111111111049e-01
1.010000000000000142e+01,6.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,1.100000000000000000e+01,1.000000000000000000e+00,1.200000000000000000e+01,1.600000000000000000e+01,1.338909000000000333e+03,1.111111111111111049e-01
1.020000000000000107e+01,6.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,1.100000000000000000e+01,1.000000000000000000e+00,1.200000000000000000e+01,1.600000000000000000e+01,1.338909000000000333e+03,1.111111111111111049e-01
1.030000000000000071e+01,5.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,1.100000000000000000e+01,1.000000000000000000e+00,1.200000000000000000e+01,1.700000000000000000e+01,1.338909000000000333e+03,1.111111111111111049e-01
1.040000000000000036e+01,5.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,1.100000000000000000e+01,1.000000000000000000e+00,1.200000000000000000e+01,1.700000000000000000e+01,1.338909000000000333e+03,1.111111111111111049e-01
1.050000000000000000e+01,5.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,1.100000000000000000e+01,1.000000000000000000e+00,1.200000000000000000e+01,1.800000000000000000e+01,1.338909000000000333e+03,1.111111111111111049e-01
1.060000000000000142e+01,4.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,1.100000000000000000e+01,1.000000000000000000e+00,1.200000000000000000e+01,1.800000000000000000e+01,1.338909000000000333e+03,1.111111111111111049e-01
1.070000000000000107e+01,4.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,1.100000000000000000e+01,1.000000000000000000e+00,1.200000000000000000e+01,1.800000000000000000e+01,1.338909000000000333e+03,1.111111111111111049e-01
1.080000000000000071e+01,4.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,1.100000000000000000e+01,1.000000000000000000e+00,1.200000000000000000e+01,1.800000000000000000e+01,1.338909000000000333e+03,1.111111111111111049e-01
1.090000000000000036e+01,4.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,1.200000000000000000e+01,1.000000000000000000e+00,1.300000000000000000e+01,1.800000000000000000e+01,1.460628000000000384e+03,1.111111111111111049e-01
1.100000000000000000e+01,6.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,1.200000000000000000e+01,1.000000000000000000e+00,1.300000000000000000e+01,1.800000000000000000e+01,1.460628000000000384e+03,1.111111111111111049e-01
1.110000000000000142e+01,6.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,1.200000000000000000e+01,1.000000000000000000e+00,1.300000000000000000e+01,1.800000000000000000e+01,1.460628000000000384e+03,1.111111111111111049e-01
1.120000000000000107e+01,7.000000000000000000e+00,1.000000000000000000e+00,6.000000000000000000e+00,1.300000000000000000e+01,1.000000000000000000e+00,1.400000000000000000e+01,1.900000000000000000e+01,1.582347000000000435e+03,1.111111111111111049e-01
1.130000000000000071e+01,7.000000000000000000e+00,1.000000000000000000e+00,6.000000000000000000e+00,1.300000000000000000e+01,1.000000000000000000e+00,1.400000000000000000e+01,1.900000000000000000e+01,1.582347000000000435e+03,1.111111111111111049e-01
